,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,92,28,0.9999999999999993,1,1
circuit842.qasm,16,15,0.14644660940672666,0,0
circuit146.qasm,5,26,6.106226635438361e-16,0,0
circuit704.qasm,18,30,0.25000000000000044,0,0
circuit984.qasm,16,29,0.14644660940672666,0,0
circuit426.qasm,81,30,0.8535533905932733,1,1
circuit190.qasm,9,28,5.551115123125783e-16,0,0
circuit871.qasm,9,27,6.661338147750939e-16,0,0
circuit188.qasm,22,32,0.1464466094067267,0,0
circuit750.qasm,8,28,2.220446049250313e-16,0,0
circuit328.qasm,80,25,0.8535533905932731,1,1
circuit275.qasm,30,22,0.2500000000000004,0,0
circuit309.qasm,25,22,0.25000000000000033,0,0
circuit513.qasm,28,28,0.2500000000000001,0,0
circuit969.qasm,3,26,2.220446049250313e-16,0,0
circuit583.qasm,84,19,0.7866116523516816,1,1
circuit483.qasm,79,24,0.8535533905932733,1,1
circuit326.qasm,81,18,0.8535533905932732,1,1
circuit319.qasm,5,27,6.106226635438361e-16,0,0
circuit278.qasm,54,28,0.6767766952966366,1,1
circuit706.qasm,11,25,7.771561172376096e-16,0,0
circuit558.qasm,78,31,0.8535533905932733,1,1
circuit358.qasm,78,25,0.8535533905932735,1,1
circuit394.qasm,13,22,2.220446049250313e-16,0,0
circuit682.qasm,89,27,0.9267766952966363,1,1
circuit035.qasm,12,23,2.220446049250313e-16,0,0
circuit503.qasm,25,27,0.2500000000000005,0,0
circuit812.qasm,23,28,0.14644660940672682,0,0
circuit934.qasm,9,28,0.02144660940672699,0,0
circuit660.qasm,8,25,7.771561172376096e-16,0,0
circuit211.qasm,85,22,0.8535533905932731,1,1
circuit540.qasm,10,27,8.326672684688674e-16,0,0
circuit359.qasm,17,26,0.14644660940672688,0,0
circuit001.qasm,74,29,0.8535533905932733,1,1
circuit115.qasm,76,36,0.8535533905932733,1,1
circuit519.qasm,68,24,0.6767766952966365,1,1
circuit978.qasm,69,26,0.7499999999999998,1,1
circuit385.qasm,81,20,0.8535533905932734,1,1
circuit782.qasm,11,28,6.661338147750939e-16,0,0
circuit822.qasm,24,25,0.14644660940672682,0,0
circuit121.qasm,69,32,0.7499999999999994,1,1
circuit091.qasm,41,25,0.3636262177912838,0,0
circuit131.qasm,80,27,0.9267766952966363,1,1
circuit062.qasm,37,26,0.375,0,0
circuit290.qasm,28,28,0.14644660940672655,0,0
circuit644.qasm,10,19,4.996003610813204e-16,0,0
circuit293.qasm,5,32,6.661338147750939e-16,0,0
circuit584.qasm,70,21,0.7499999999999999,1,1
circuit593.qasm,15,27,8.326672684688674e-16,0,0
circuit863.qasm,6,30,8.881784197001252e-16,0,0
circuit602.qasm,93,27,0.9999999999999991,1,1
circuit261.qasm,11,22,8.326672684688674e-16,0,0
circuit791.qasm,5,30,5.551115123125783e-16,0,0
circuit210.qasm,82,26,0.8535533905932731,1,1
circuit366.qasm,10,26,3.3306690738754696e-16,0,0
circuit436.qasm,88,23,0.9267766952966365,1,1
circuit000.qasm,37,24,0.32322330470336336,0,0
circuit813.qasm,86,31,0.8535533905932733,1,1
circuit604.qasm,73,28,0.8535533905932731,1,1
circuit997.qasm,68,20,0.713388347648318,1,1
circuit723.qasm,6,33,7.771561172376096e-16,0,0
circuit393.qasm,12,22,7.771561172376096e-16,0,0
circuit585.qasm,84,26,0.8535533905932732,1,1
circuit856.qasm,85,30,0.8535533905932732,1,1
circuit151.qasm,69,28,0.7499999999999996,1,1
circuit458.qasm,89,34,0.9999999999999996,1,1
circuit083.qasm,88,27,0.8535533905932733,1,1
circuit336.qasm,79,21,0.8017766952966364,1,1
circuit465.qasm,80,20,0.8535533905932733,1,1
circuit347.qasm,69,33,0.6767766952966365,1,1
circuit258.qasm,85,20,0.8901650429449548,1,1
circuit379.qasm,10,32,6.661338147750939e-16,0,0
circuit339.qasm,79,30,0.8535533905932733,1,1
circuit150.qasm,1,32,7.216449660063518e-16,0,0
circuit972.qasm,7,31,7.216449660063518e-16,0,0
circuit677.qasm,24,33,0.25000000000000056,0,0
circuit340.qasm,4,22,4.440892098500626e-16,0,0
circuit781.qasm,23,21,0.21338834764831882,0,0
circuit372.qasm,27,29,0.25000000000000033,0,0
circuit269.qasm,9,21,6.661338147750939e-16,0,0
circuit018.qasm,70,18,0.6767766952966368,1,1
circuit136.qasm,76,28,0.9267766952966363,1,1
circuit695.qasm,18,32,0.07322330470336352,0,0
circuit116.qasm,13,24,0.14644660940672666,0,0
circuit287.qasm,76,28,0.8535533905932732,1,1
circuit110.qasm,66,19,0.7499999999999996,1,1
circuit912.qasm,4,29,8.326672684688674e-16,0,0
circuit109.qasm,75,34,0.8535533905932733,1,1
circuit494.qasm,76,31,0.8535533905932733,1,1
circuit325.qasm,5,26,5.551115123125783e-16,0,0
circuit111.qasm,39,23,0.32322330470336336,0,0
circuit382.qasm,93,32,0.9999999999999993,1,1
circuit402.qasm,65,19,0.7499999999999996,1,1
circuit933.qasm,24,26,0.25000000000000067,0,0
circuit672.qasm,17,33,0.14644660940672688,0,0
circuit386.qasm,69,24,0.6767766952966368,1,1
circuit903.qasm,5,29,2.220446049250313e-16,0,0
circuit759.qasm,30,24,0.14644660940672682,0,0
circuit081.qasm,75,26,0.8535533905932733,1,1
circuit939.qasm,18,32,0.1464466094067267,0,0
