,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,48,100,0.25000000000000017,0,0
circuit842.qasm,51,100,0.8535533905932731,1,1
circuit146.qasm,43,100,0.5022510610621418,0,0
circuit704.qasm,61,100,0.42552396878194293,0,1
circuit984.qasm,53,100,0.515625,0,1
circuit426.qasm,46,100,0.0778473913599011,0,0
circuit190.qasm,47,100,0.49609375,0,0
circuit871.qasm,47,100,0.6767766952966368,1,0
circuit188.qasm,50,100,0.5,0,0
circuit750.qasm,46,100,0.4999999999999999,0,0
circuit328.qasm,48,100,0.25000000000000033,0,0
circuit275.qasm,49,100,0.047334957055045535,0,0
circuit309.qasm,48,100,0.4712008476483185,0,0
circuit513.qasm,45,100,0.9785533905932728,1,0
circuit969.qasm,50,100,0.41161165235168184,0,0
circuit583.qasm,41,100,0.6493179560328755,1,0
circuit483.qasm,50,100,0.27458161413599064,0,0
circuit326.qasm,53,100,0.34958555994371154,0,1
circuit319.qasm,44,100,0.6255552172801986,1,0
circuit278.qasm,49,100,0.23002852198356272,0,0
circuit706.qasm,54,100,0.2500000000000005,0,1
circuit558.qasm,49,100,0.4661841630879205,0,0
circuit358.qasm,50,100,0.3024666308792043,0,0
circuit394.qasm,52,100,0.38177146759962677,0,1
circuit682.qasm,38,100,0.5,0,0
circuit035.qasm,55,100,0.5,0,1
circuit503.qasm,58,100,0.49999999999999994,0,1
circuit812.qasm,46,100,0.4232154130879207,0,0
circuit934.qasm,40,100,0.3386183261758413,0,0
circuit660.qasm,41,100,0.49042893013480726,0,0
circuit211.qasm,49,100,0.4999999999999999,0,0
circuit540.qasm,44,100,0.5169654130879204,0,0
circuit359.qasm,45,100,0.5636104345603977,0,0
circuit001.qasm,63,100,0.6131662607362388,1,1
circuit115.qasm,52,100,0.51528989672802,0,1
circuit519.qasm,52,100,0.45864927172801995,0,1
circuit978.qasm,59,100,0.6142766952966365,1,1
circuit385.qasm,49,100,0.5084133043839354,0,0
circuit782.qasm,45,100,0.5943290323364874,0,0
circuit822.qasm,49,100,0.7499999999999993,1,0
circuit121.qasm,38,100,0.3887293696318808,0,0
circuit091.qasm,55,100,0.4788878954818184,0,1
circuit131.qasm,54,100,0.5357994530451431,0,1
circuit062.qasm,41,100,0.5023229293519925,0,0
circuit290.qasm,53,100,0.5916699782080944,0,1
circuit644.qasm,48,100,0.3986674785275225,0,0
circuit293.qasm,39,100,0.42081219555217925,0,0
circuit584.qasm,45,100,0.7392766952966364,1,0
circuit593.qasm,58,100,0.5,0,1
circuit863.qasm,48,100,0.5107625837731721,0,0
circuit602.qasm,42,100,0.5631940216002486,0,0
circuit261.qasm,53,100,0.5000000000000002,0,1
circuit791.qasm,40,100,0.2477791308792044,0,0
circuit210.qasm,48,100,0.6483225107362383,1,0
circuit366.qasm,48,100,0.2035849570550452,0,0
circuit436.qasm,42,100,0.4482233047033632,0,0
circuit000.qasm,40,100,0.34492779371158216,0,0
circuit813.qasm,47,100,0.33633009790386087,0,0
circuit604.qasm,51,100,0.49999999999999994,0,1
circuit997.qasm,45,100,0.49999999999999983,0,0
circuit723.qasm,49,100,0.4858279362218557,0,0
circuit393.qasm,49,100,0.7461413801125765,1,0
circuit585.qasm,60,100,0.49999999999999967,0,1
circuit856.qasm,44,100,0.5,0,0
circuit151.qasm,48,100,0.9267766952966365,1,0
circuit458.qasm,38,100,0.5404029130879209,0,0
circuit083.qasm,47,100,0.12500000000000078,0,0
circuit336.qasm,50,99,0.41161165235168173,0,0
circuit465.qasm,59,100,0.48705582617584087,0,1
circuit347.qasm,43,100,0.7370558261758404,1,0
circuit258.qasm,53,100,0.5732233047033631,0,1
circuit379.qasm,55,100,0.5000000000000001,0,1
circuit339.qasm,41,100,0.10983495705504537,0,0
circuit150.qasm,56,100,0.6142766952966366,1,1
circuit972.qasm,46,100,0.5407380163599002,0,0
circuit677.qasm,44,100,9.992007221626409e-16,0,0
circuit340.qasm,52,100,0.31250000000000044,0,1
circuit781.qasm,47,100,0.38572330470336336,0,0
circuit372.qasm,45,100,0.6767766952966365,1,0
circuit269.qasm,50,100,0.5366116523516815,0,0
circuit018.qasm,45,100,0.35747936963188054,0,0
circuit136.qasm,53,100,0.713388347648318,1,1
circuit695.qasm,44,100,0.4271692932004977,0,0
circuit116.qasm,58,100,0.49999999999999994,0,1
circuit287.qasm,51,100,0.7156765759202981,1,1
circuit110.qasm,53,100,0.5555679560328758,0,1
circuit912.qasm,48,100,0.6650577802096193,1,0
circuit109.qasm,60,100,0.5350412607362387,0,1
circuit494.qasm,58,100,0.37500000000000017,0,1
circuit325.qasm,52,100,0.5000000000000001,0,1
circuit111.qasm,48,100,0.3102791308792041,0,0
circuit382.qasm,51,100,0.5159678008531754,0,1
circuit402.qasm,60,100,0.47918855304989116,0,1
circuit933.qasm,54,100,0.5080087989519303,0,1
circuit672.qasm,45,100,0.39307031700523165,0,0
circuit386.qasm,56,100,0.8383883476483178,1,1
circuit903.qasm,51,100,0.14834223977484645,0,1
circuit759.qasm,51,100,0.8651517593283802,1,1
circuit081.qasm,44,100,0.5819162607362388,0,0
circuit939.qasm,46,100,0.5258883476483183,0,0
