,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,92,13,0.9999999999999993,1,1
circuit842.qasm,20,11,0.14644660940672666,0,0
circuit146.qasm,2,10,6.106226635438361e-16,0,0
circuit704.qasm,29,14,0.25000000000000044,0,0
circuit984.qasm,15,14,0.14644660940672666,0,0
circuit426.qasm,80,21,0.8535533905932733,1,1
circuit190.qasm,3,11,5.551115123125783e-16,0,0
circuit871.qasm,5,12,6.661338147750939e-16,0,0
circuit188.qasm,16,9,0.1464466094067267,0,0
circuit750.qasm,1,14,2.220446049250313e-16,0,0
circuit328.qasm,79,15,0.8535533905932731,1,1
circuit275.qasm,22,12,0.2500000000000004,0,0
circuit309.qasm,25,14,0.25000000000000033,0,0
circuit513.qasm,31,15,0.2500000000000001,0,0
circuit969.qasm,3,14,2.220446049250313e-16,0,0
circuit583.qasm,84,10,0.7866116523516816,1,1
circuit483.qasm,81,14,0.8535533905932733,1,1
circuit326.qasm,78,14,0.8535533905932732,1,1
circuit319.qasm,3,14,6.106226635438361e-16,0,0
circuit278.qasm,66,9,0.6767766952966366,1,1
circuit706.qasm,4,15,7.771561172376096e-16,0,0
circuit558.qasm,83,16,0.8535533905932733,1,1
circuit358.qasm,81,20,0.8535533905932735,1,1
circuit394.qasm,6,23,2.220446049250313e-16,0,0
circuit682.qasm,88,8,0.9267766952966363,1,1
circuit035.qasm,9,15,2.220446049250313e-16,0,0
circuit503.qasm,28,15,0.2500000000000005,0,0
circuit812.qasm,20,10,0.14644660940672682,0,0
circuit934.qasm,6,15,0.02144660940672699,0,0
circuit660.qasm,10,20,7.771561172376096e-16,0,0
circuit211.qasm,76,15,0.8535533905932731,1,1
circuit540.qasm,9,15,8.326672684688674e-16,0,0
circuit359.qasm,17,12,0.14644660940672688,0,0
circuit001.qasm,83,6,0.8535533905932733,1,1
circuit115.qasm,83,16,0.8535533905932733,1,1
circuit519.qasm,67,12,0.6767766952966365,1,1
circuit978.qasm,70,16,0.7499999999999998,1,1
circuit385.qasm,82,16,0.8535533905932734,1,1
circuit782.qasm,8,13,6.661338147750939e-16,0,0
circuit822.qasm,32,18,0.14644660940672682,0,0
circuit121.qasm,76,11,0.7499999999999994,1,1
circuit091.qasm,42,11,0.3636262177912838,0,0
circuit131.qasm,90,11,0.9267766952966363,1,1
circuit062.qasm,37,11,0.375,0,0
circuit290.qasm,16,12,0.14644660940672655,0,0
circuit644.qasm,3,14,4.996003610813204e-16,0,0
circuit293.qasm,8,9,6.661338147750939e-16,0,0
circuit584.qasm,75,16,0.7499999999999999,1,1
circuit593.qasm,8,12,8.326672684688674e-16,0,0
circuit863.qasm,5,12,8.881784197001252e-16,0,0
circuit602.qasm,95,15,0.9999999999999991,1,1
circuit261.qasm,7,13,8.326672684688674e-16,0,0
circuit791.qasm,4,19,5.551115123125783e-16,0,0
circuit210.qasm,81,9,0.8535533905932731,1,1
circuit366.qasm,11,14,3.3306690738754696e-16,0,0
circuit436.qasm,90,16,0.9267766952966365,1,1
circuit000.qasm,31,12,0.32322330470336336,0,0
circuit813.qasm,78,12,0.8535533905932733,1,1
circuit604.qasm,82,15,0.8535533905932731,1,1
circuit997.qasm,68,18,0.713388347648318,1,1
circuit723.qasm,3,15,7.771561172376096e-16,0,0
circuit393.qasm,4,20,7.771561172376096e-16,0,0
circuit585.qasm,86,19,0.8535533905932732,1,1
circuit856.qasm,84,9,0.8535533905932732,1,1
circuit151.qasm,68,14,0.7499999999999996,1,1
circuit458.qasm,96,15,0.9999999999999996,1,1
circuit083.qasm,91,8,0.8535533905932733,1,1
circuit336.qasm,78,12,0.8017766952966364,1,1
circuit465.qasm,87,10,0.8535533905932733,1,1
circuit347.qasm,71,18,0.6767766952966365,1,1
circuit258.qasm,88,13,0.8901650429449548,1,1
circuit379.qasm,5,19,6.661338147750939e-16,0,0
circuit339.qasm,80,11,0.8535533905932733,1,1
circuit150.qasm,7,17,7.216449660063518e-16,0,0
circuit972.qasm,7,14,7.216449660063518e-16,0,0
circuit677.qasm,27,14,0.25000000000000056,0,0
circuit340.qasm,3,12,4.440892098500626e-16,0,0
circuit781.qasm,24,12,0.21338834764831882,0,0
circuit372.qasm,29,19,0.25000000000000033,0,0
circuit269.qasm,5,12,6.661338147750939e-16,0,0
circuit018.qasm,62,14,0.6767766952966368,1,1
circuit136.qasm,88,13,0.9267766952966363,1,1
circuit695.qasm,7,17,0.07322330470336352,0,0
circuit116.qasm,11,17,0.14644660940672666,0,0
circuit287.qasm,78,15,0.8535533905932732,1,1
circuit110.qasm,78,12,0.7499999999999996,1,1
circuit912.qasm,5,17,8.326672684688674e-16,0,0
circuit109.qasm,74,14,0.8535533905932733,1,1
circuit494.qasm,74,12,0.8535533905932733,1,1
circuit325.qasm,4,19,5.551115123125783e-16,0,0
circuit111.qasm,41,16,0.32322330470336336,0,0
circuit382.qasm,97,12,0.9999999999999993,1,1
circuit402.qasm,65,12,0.7499999999999996,1,1
circuit933.qasm,25,12,0.25000000000000067,0,0
circuit672.qasm,16,10,0.14644660940672688,0,0
circuit386.qasm,66,16,0.6767766952966368,1,1
circuit903.qasm,6,11,2.220446049250313e-16,0,0
circuit759.qasm,20,10,0.14644660940672682,0,0
circuit081.qasm,85,10,0.8535533905932733,1,1
circuit939.qasm,17,15,0.1464466094067267,0,0
