,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,99,4,0.9999999999999993,1,1
circuit842.qasm,10,7,0.14644660940672666,0,0
circuit146.qasm,0,9,6.106226635438361e-16,0,0
circuit704.qasm,29,3,0.25000000000000044,0,0
circuit984.qasm,18,8,0.14644660940672666,0,0
circuit426.qasm,84,7,0.8535533905932733,1,1
circuit190.qasm,1,5,5.551115123125783e-16,0,0
circuit871.qasm,1,4,6.661338147750939e-16,0,0
circuit188.qasm,14,7,0.1464466094067267,0,0
circuit750.qasm,1,4,2.220446049250313e-16,0,0
circuit328.qasm,84,3,0.8535533905932731,1,1
circuit275.qasm,26,7,0.2500000000000004,0,0
circuit309.qasm,28,5,0.25000000000000033,0,0
circuit513.qasm,23,3,0.2500000000000001,0,0
circuit969.qasm,1,5,2.220446049250313e-16,0,0
circuit583.qasm,74,4,0.7866116523516816,1,1
circuit483.qasm,80,8,0.8535533905932733,1,1
circuit326.qasm,86,3,0.8535533905932732,1,1
circuit319.qasm,3,5,6.106226635438361e-16,0,0
circuit278.qasm,69,2,0.6767766952966366,1,1
circuit706.qasm,1,2,7.771561172376096e-16,0,0
circuit558.qasm,78,6,0.8535533905932733,1,1
circuit358.qasm,80,4,0.8535533905932735,1,1
circuit394.qasm,1,8,2.220446049250313e-16,0,0
circuit682.qasm,87,4,0.9267766952966363,1,1
circuit035.qasm,0,3,2.220446049250313e-16,0,0
circuit503.qasm,26,4,0.2500000000000005,0,0
circuit812.qasm,10,2,0.14644660940672682,0,0
circuit934.qasm,3,5,0.02144660940672699,0,0
circuit660.qasm,4,5,7.771561172376096e-16,0,0
circuit211.qasm,85,4,0.8535533905932731,1,1
circuit540.qasm,3,3,8.326672684688674e-16,0,0
circuit359.qasm,15,4,0.14644660940672688,0,0
circuit001.qasm,78,5,0.8535533905932733,1,1
circuit115.qasm,82,3,0.8535533905932733,1,1
circuit519.qasm,66,3,0.6767766952966365,1,1
circuit978.qasm,82,4,0.7499999999999998,1,1
circuit385.qasm,82,5,0.8535533905932734,1,1
circuit782.qasm,3,4,6.661338147750939e-16,0,0
circuit822.qasm,20,7,0.14644660940672682,0,0
circuit121.qasm,83,4,0.7499999999999994,1,1
circuit091.qasm,41,7,0.3636262177912838,0,0
circuit131.qasm,94,3,0.9267766952966363,1,1
circuit062.qasm,42,4,0.375,0,0
circuit290.qasm,18,4,0.14644660940672655,0,0
circuit644.qasm,5,7,4.996003610813204e-16,0,0
circuit293.qasm,3,5,6.661338147750939e-16,0,0
circuit584.qasm,70,8,0.7499999999999999,1,1
circuit593.qasm,3,8,8.326672684688674e-16,0,0
circuit863.qasm,2,4,8.881784197001252e-16,0,0
circuit602.qasm,98,3,0.9999999999999991,1,1
circuit261.qasm,0,1,8.326672684688674e-16,0,0
circuit791.qasm,0,5,5.551115123125783e-16,0,0
circuit210.qasm,80,1,0.8535533905932731,1,1
circuit366.qasm,2,2,3.3306690738754696e-16,0,0
circuit436.qasm,91,4,0.9267766952966365,1,1
circuit000.qasm,32,4,0.32322330470336336,0,0
circuit813.qasm,84,4,0.8535533905932733,1,1
circuit604.qasm,83,7,0.8535533905932731,1,1
circuit997.qasm,70,6,0.713388347648318,1,1
circuit723.qasm,2,5,7.771561172376096e-16,0,0
circuit393.qasm,1,3,7.771561172376096e-16,0,0
circuit585.qasm,84,4,0.8535533905932732,1,1
circuit856.qasm,82,6,0.8535533905932732,1,1
circuit151.qasm,72,6,0.7499999999999996,1,1
circuit458.qasm,96,8,0.9999999999999996,1,1
circuit083.qasm,80,4,0.8535533905932733,1,1
circuit336.qasm,81,5,0.8017766952966364,1,1
circuit465.qasm,86,5,0.8535533905932733,1,1
circuit347.qasm,70,9,0.6767766952966365,1,1
circuit258.qasm,81,4,0.8901650429449548,1,1
circuit379.qasm,2,5,6.661338147750939e-16,0,0
circuit339.qasm,85,5,0.8535533905932733,1,1
circuit150.qasm,1,1,7.216449660063518e-16,0,0
circuit972.qasm,1,4,7.216449660063518e-16,0,0
circuit677.qasm,30,3,0.25000000000000056,0,0
circuit340.qasm,1,6,4.440892098500626e-16,0,0
circuit781.qasm,22,2,0.21338834764831882,0,0
circuit372.qasm,24,4,0.25000000000000033,0,0
circuit269.qasm,4,3,6.661338147750939e-16,0,0
circuit018.qasm,64,3,0.6767766952966368,1,1
circuit136.qasm,92,9,0.9267766952966363,1,1
circuit695.qasm,6,2,0.07322330470336352,0,0
circuit116.qasm,19,3,0.14644660940672666,0,0
circuit287.qasm,85,6,0.8535533905932732,1,1
circuit110.qasm,82,4,0.7499999999999996,1,1
circuit912.qasm,0,6,8.326672684688674e-16,0,0
circuit109.qasm,81,5,0.8535533905932733,1,1
circuit494.qasm,80,2,0.8535533905932733,1,1
circuit325.qasm,1,6,5.551115123125783e-16,0,0
circuit111.qasm,31,4,0.32322330470336336,0,0
circuit382.qasm,98,5,0.9999999999999993,1,1
circuit402.qasm,77,5,0.7499999999999996,1,1
circuit933.qasm,32,7,0.25000000000000067,0,0
circuit672.qasm,10,5,0.14644660940672688,0,0
circuit386.qasm,63,6,0.6767766952966368,1,1
circuit903.qasm,2,6,2.220446049250313e-16,0,0
circuit759.qasm,16,3,0.14644660940672682,0,0
circuit081.qasm,79,7,0.8535533905932733,1,1
circuit939.qasm,14,9,0.1464466094067267,0,0
