,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,99,9,0.9999999999999993,1,1
circuit842.qasm,14,5,0.14644660940672666,0,0
circuit146.qasm,2,7,6.106226635438361e-16,0,0
circuit704.qasm,22,7,0.25000000000000044,0,0
circuit984.qasm,9,9,0.14644660940672666,0,0
circuit426.qasm,82,5,0.8535533905932733,1,1
circuit190.qasm,0,8,5.551115123125783e-16,0,0
circuit871.qasm,2,4,6.661338147750939e-16,0,0
circuit188.qasm,17,5,0.1464466094067267,0,0
circuit750.qasm,1,4,2.220446049250313e-16,0,0
circuit328.qasm,84,10,0.8535533905932731,1,1
circuit275.qasm,28,3,0.2500000000000004,0,0
circuit309.qasm,26,9,0.25000000000000033,0,0
circuit513.qasm,22,15,0.2500000000000001,0,0
circuit969.qasm,2,10,2.220446049250313e-16,0,0
circuit583.qasm,71,5,0.7866116523516816,1,1
circuit483.qasm,78,12,0.8535533905932733,1,1
circuit326.qasm,89,3,0.8535533905932732,1,1
circuit319.qasm,1,7,6.106226635438361e-16,0,0
circuit278.qasm,73,9,0.6767766952966366,1,1
circuit706.qasm,3,6,7.771561172376096e-16,0,0
circuit558.qasm,79,5,0.8535533905932733,1,1
circuit358.qasm,84,5,0.8535533905932735,1,1
circuit394.qasm,1,6,2.220446049250313e-16,0,0
circuit682.qasm,86,8,0.9267766952966363,1,1
circuit035.qasm,1,9,2.220446049250313e-16,0,0
circuit503.qasm,25,10,0.2500000000000005,0,0
circuit812.qasm,13,9,0.14644660940672682,0,0
circuit934.qasm,6,4,0.02144660940672699,0,0
circuit660.qasm,1,4,7.771561172376096e-16,0,0
circuit211.qasm,83,6,0.8535533905932731,1,1
circuit540.qasm,4,6,8.326672684688674e-16,0,0
circuit359.qasm,17,7,0.14644660940672688,0,0
circuit001.qasm,82,7,0.8535533905932733,1,1
circuit115.qasm,88,4,0.8535533905932733,1,1
circuit519.qasm,63,3,0.6767766952966365,1,1
circuit978.qasm,68,5,0.7499999999999998,1,1
circuit385.qasm,85,8,0.8535533905932734,1,1
circuit782.qasm,1,5,6.661338147750939e-16,0,0
circuit822.qasm,17,6,0.14644660940672682,0,0
circuit121.qasm,75,6,0.7499999999999994,1,1
circuit091.qasm,41,9,0.3636262177912838,0,0
circuit131.qasm,93,6,0.9267766952966363,1,1
circuit062.qasm,37,5,0.375,0,0
circuit290.qasm,26,11,0.14644660940672655,0,0
circuit644.qasm,0,9,4.996003610813204e-16,0,0
circuit293.qasm,2,8,6.661338147750939e-16,0,0
circuit584.qasm,73,8,0.7499999999999999,1,1
circuit593.qasm,5,12,8.326672684688674e-16,0,0
circuit863.qasm,3,8,8.881784197001252e-16,0,0
circuit602.qasm,97,10,0.9999999999999991,1,1
circuit261.qasm,4,3,8.326672684688674e-16,0,0
circuit791.qasm,1,4,5.551115123125783e-16,0,0
circuit210.qasm,83,5,0.8535533905932731,1,1
circuit366.qasm,3,3,3.3306690738754696e-16,0,0
circuit436.qasm,95,7,0.9267766952966365,1,1
circuit000.qasm,31,8,0.32322330470336336,0,0
circuit813.qasm,82,13,0.8535533905932733,1,1
circuit604.qasm,77,7,0.8535533905932731,1,1
circuit997.qasm,63,6,0.713388347648318,1,1
circuit723.qasm,2,16,7.771561172376096e-16,0,0
circuit393.qasm,2,8,7.771561172376096e-16,0,0
circuit585.qasm,90,11,0.8535533905932732,1,1
circuit856.qasm,91,8,0.8535533905932732,1,1
circuit151.qasm,67,11,0.7499999999999996,1,1
circuit458.qasm,100,10,0.9999999999999996,1,1
circuit083.qasm,78,8,0.8535533905932733,1,1
circuit336.qasm,77,5,0.8017766952966364,1,1
circuit465.qasm,82,9,0.8535533905932733,1,1
circuit347.qasm,67,5,0.6767766952966365,1,1
circuit258.qasm,87,6,0.8901650429449548,1,1
circuit379.qasm,2,10,6.661338147750939e-16,0,0
circuit339.qasm,83,8,0.8535533905932733,1,1
circuit150.qasm,1,5,7.216449660063518e-16,0,0
circuit972.qasm,2,8,7.216449660063518e-16,0,0
circuit677.qasm,29,7,0.25000000000000056,0,0
circuit340.qasm,1,5,4.440892098500626e-16,0,0
circuit781.qasm,25,7,0.21338834764831882,0,0
circuit372.qasm,26,9,0.25000000000000033,0,0
circuit269.qasm,2,6,6.661338147750939e-16,0,0
circuit018.qasm,69,8,0.6767766952966368,1,1
circuit136.qasm,92,9,0.9267766952966363,1,1
circuit695.qasm,7,9,0.07322330470336352,0,0
circuit116.qasm,17,9,0.14644660940672666,0,0
circuit287.qasm,84,6,0.8535533905932732,1,1
circuit110.qasm,74,7,0.7499999999999996,1,1
circuit912.qasm,1,5,8.326672684688674e-16,0,0
circuit109.qasm,86,6,0.8535533905932733,1,1
circuit494.qasm,83,11,0.8535533905932733,1,1
circuit325.qasm,0,2,5.551115123125783e-16,0,0
circuit111.qasm,30,9,0.32322330470336336,0,0
circuit382.qasm,99,7,0.9999999999999993,1,1
circuit402.qasm,72,4,0.7499999999999996,1,1
circuit933.qasm,26,5,0.25000000000000067,0,0
circuit672.qasm,19,5,0.14644660940672688,0,0
circuit386.qasm,67,4,0.6767766952966368,1,1
circuit903.qasm,4,8,2.220446049250313e-16,0,0
circuit759.qasm,17,6,0.14644660940672682,0,0
circuit081.qasm,87,7,0.8535533905932733,1,1
circuit939.qasm,13,10,0.1464466094067267,0,0
