,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,49,22,0.3449277937115822,0,0
circuit001.qasm,57,23,0.6131662607362389,1,1
circuit003.qasm,45,22,0.7499999999999996,1,0
circuit004.qasm,43,18,0.6767766952966366,1,0
circuit006.qasm,61,17,0.9176237822087159,1,1
circuit009.qasm,49,25,0.1982233047033637,0,0
circuit011.qasm,54,27,0.6249999999999999,1,1
circuit017.qasm,45,14,0.1723349570550453,0,0
circuit018.qasm,45,21,0.3574793696318806,0,0
circuit022.qasm,38,19,0.32322330470336336,0,0
circuit026.qasm,47,20,0.190640783230886,0,0
circuit030.qasm,41,15,0.25000000000000044,0,0
circuit037.qasm,45,19,0.28661165235168196,0,0
circuit038.qasm,42,14,0.39438313196968466,0,0
circuit039.qasm,31,18,0.3071383476483189,0,0
circuit044.qasm,54,14,0.3996152937115822,0,1
circuit045.qasm,36,12,0.1528037070550451,0,0
circuit049.qasm,44,30,0.3383883476483188,0,0
circuit050.qasm,39,15,0.3857233047033629,0,0
circuit055.qasm,62,27,0.3674174785275225,0,1
circuit056.qasm,52,25,0.6379441738241589,1,1
circuit059.qasm,52,18,0.7499999999999996,1,1
circuit060.qasm,44,19,0.3416917502555425,0,0
circuit064.qasm,46,16,0.38281250000000017,0,0
circuit067.qasm,50,16,0.6010072827198008,1,0
circuit070.qasm,61,18,0.6075050033032217,1,1
circuit071.qasm,50,18,0.33126578323088574,0,0
circuit072.qasm,57,16,0.3750000000000002,0,1
circuit073.qasm,46,17,0.32322330470336347,0,0
circuit075.qasm,42,25,0.12500000000000078,0,0
circuit077.qasm,46,21,0.32322330470336325,0,0
circuit078.qasm,59,18,0.8383883476483179,1,1
circuit080.qasm,57,22,0.7354854345603978,1,1
circuit082.qasm,52,17,0.60061468481594,1,1
circuit083.qasm,47,19,0.12500000000000078,0,0
circuit088.qasm,49,22,0.620053739104047,1,0
circuit089.qasm,51,17,0.6249999999999998,1,1
circuit093.qasm,44,14,0.3321462392637617,0,0
circuit094.qasm,50,15,0.38415291308792077,0,0
circuit095.qasm,52,19,0.669194173824159,1,1
circuit097.qasm,43,16,0.37500000000000006,0,0
circuit098.qasm,48,23,0.6369963586400991,1,0
circuit099.qasm,49,28,0.2866116523516816,0,0
circuit101.qasm,59,16,0.8276650429449548,1,1
circuit103.qasm,45,23,0.2683058261758413,0,0
circuit105.qasm,49,26,0.6186092227760895,1,0
circuit111.qasm,48,22,0.3102791308792041,0,0
circuit114.qasm,56,21,0.7499999999999997,1,1
circuit119.qasm,40,30,0.2919733047033635,0,0
circuit121.qasm,52,22,0.38872936963188087,0,1
circuit122.qasm,48,17,0.6421280324642585,1,0
circuit123.qasm,57,12,0.6319291547163131,1,1
circuit125.qasm,50,17,0.1418701528627665,0,0
circuit127.qasm,42,22,0.3630001537256544,0,0
circuit132.qasm,58,16,0.7042354345603976,1,1
circuit133.qasm,59,17,0.9095673531442079,1,1
circuit134.qasm,50,21,0.28488952738362483,0,0
circuit135.qasm,38,21,0.3705385327198012,0,0
circuit136.qasm,54,20,0.713388347648318,1,1
circuit137.qasm,55,16,0.24463834764831893,0,1
circuit145.qasm,47,16,0.6249999999999997,1,0
circuit147.qasm,57,26,0.908470869120795,1,1
circuit148.qasm,42,25,0.20312500000000072,0,0
circuit150.qasm,53,16,0.6142766952966366,1,1
circuit151.qasm,59,11,0.9267766952966365,1,1
circuit152.qasm,56,26,0.7392766952966366,1,1
circuit154.qasm,52,25,0.6950825214724776,1,1
circuit155.qasm,56,14,0.618209948795454,1,1
circuit161.qasm,48,14,0.658293365334277,1,0
circuit164.qasm,57,20,0.9374999999999993,1,1
circuit165.qasm,55,26,0.6169575214724774,1,1
circuit166.qasm,53,17,0.2645145654396024,0,1
circuit172.qasm,56,18,0.6691941738241587,1,1
circuit173.qasm,44,19,0.28661165235168196,0,0
circuit174.qasm,53,28,0.9267766952966361,1,1
circuit178.qasm,49,16,0.3167512177912839,0,0
circuit180.qasm,56,25,0.6127736628323779,1,1
circuit181.qasm,67,22,0.8535533905932733,1,1
circuit182.qasm,56,18,0.6066941738241588,1,1
circuit186.qasm,45,19,0.25915291308792066,0,0
circuit191.qasm,53,30,0.6874999999999998,1,1
circuit197.qasm,52,15,0.7180222988241589,1,1
circuit200.qasm,52,20,0.66392369567995,1,1
circuit201.qasm,43,15,0.7271177172801987,1,0
circuit202.qasm,45,23,0.2995558261758411,0,0
circuit210.qasm,59,25,0.6483225107362383,1,1
circuit212.qasm,52,25,0.7163492924096971,1,1
circuit214.qasm,52,23,0.3986674785275226,0,1
circuit215.qasm,61,15,0.853553390593273,1,1
circuit216.qasm,58,17,0.8535533905932731,1,1
circuit224.qasm,43,19,0.294424152351682,0,0
circuit231.qasm,46,19,0.393305826175841,0,0
circuit232.qasm,54,23,0.37776213586401014,0,1
circuit234.qasm,54,21,0.6727891356084676,1,1
circuit237.qasm,50,26,0.7567496955521786,1,0
circuit240.qasm,46,19,0.37196025549589073,0,0
circuit241.qasm,41,17,0.12886848440672682,0,0
circuit242.qasm,62,26,0.7196978151840593,1,1
circuit243.qasm,44,25,0.6249999999999997,1,0
circuit244.qasm,37,13,0.24777913087920445,0,0
