,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,99,4,0.9999999999999993,1,1
circuit842.qasm,17,5,0.14644660940672666,0,0
circuit146.qasm,0,4,6.106226635438361e-16,0,0
circuit704.qasm,24,1,0.25000000000000044,0,0
circuit984.qasm,14,2,0.14644660940672666,0,0
circuit426.qasm,88,5,0.8535533905932733,1,1
circuit190.qasm,0,1,5.551115123125783e-16,0,0
circuit871.qasm,2,1,6.661338147750939e-16,0,0
circuit188.qasm,23,3,0.1464466094067267,0,0
circuit750.qasm,0,3,2.220446049250313e-16,0,0
circuit328.qasm,91,5,0.8535533905932731,1,1
circuit275.qasm,27,6,0.2500000000000004,0,0
circuit309.qasm,24,4,0.25000000000000033,0,0
circuit513.qasm,22,5,0.2500000000000001,0,0
circuit969.qasm,0,3,2.220446049250313e-16,0,0
circuit583.qasm,72,2,0.7866116523516816,1,1
circuit483.qasm,87,6,0.8535533905932733,1,1
circuit326.qasm,90,7,0.8535533905932732,1,1
circuit319.qasm,0,5,6.106226635438361e-16,0,0
circuit278.qasm,66,4,0.6767766952966366,1,1
circuit706.qasm,2,3,7.771561172376096e-16,0,0
circuit558.qasm,85,2,0.8535533905932733,1,1
circuit358.qasm,82,4,0.8535533905932735,1,1
circuit394.qasm,1,4,2.220446049250313e-16,0,0
circuit682.qasm,94,2,0.9267766952966363,1,1
circuit035.qasm,0,1,2.220446049250313e-16,0,0
circuit503.qasm,32,4,0.2500000000000005,0,0
circuit812.qasm,14,2,0.14644660940672682,0,0
circuit934.qasm,4,5,0.02144660940672699,0,0
circuit660.qasm,1,8,7.771561172376096e-16,0,0
circuit211.qasm,85,6,0.8535533905932731,1,1
circuit540.qasm,1,4,8.326672684688674e-16,0,0
circuit359.qasm,20,3,0.14644660940672688,0,0
circuit001.qasm,87,5,0.8535533905932733,1,1
circuit115.qasm,88,5,0.8535533905932733,1,1
circuit519.qasm,75,4,0.6767766952966365,1,1
circuit978.qasm,81,1,0.7499999999999998,1,1
circuit385.qasm,90,2,0.8535533905932734,1,1
circuit782.qasm,1,6,6.661338147750939e-16,0,0
circuit822.qasm,12,5,0.14644660940672682,0,0
circuit121.qasm,74,4,0.7499999999999994,1,1
circuit091.qasm,36,3,0.3636262177912838,0,0
circuit131.qasm,87,5,0.9267766952966363,1,1
circuit062.qasm,40,3,0.375,0,0
circuit290.qasm,12,6,0.14644660940672655,0,0
circuit644.qasm,0,6,4.996003610813204e-16,0,0
circuit293.qasm,0,3,6.661338147750939e-16,0,0
circuit584.qasm,74,6,0.7499999999999999,1,1
circuit593.qasm,2,7,8.326672684688674e-16,0,0
circuit863.qasm,0,1,8.881784197001252e-16,0,0
circuit602.qasm,97,3,0.9999999999999991,1,1
circuit261.qasm,2,4,8.326672684688674e-16,0,0
circuit791.qasm,0,4,5.551115123125783e-16,0,0
circuit210.qasm,84,2,0.8535533905932731,1,1
circuit366.qasm,1,6,3.3306690738754696e-16,0,0
circuit436.qasm,96,3,0.9267766952966365,1,1
circuit000.qasm,39,6,0.32322330470336336,0,0
circuit813.qasm,87,3,0.8535533905932733,1,1
circuit604.qasm,89,2,0.8535533905932731,1,1
circuit997.qasm,67,6,0.713388347648318,1,1
circuit723.qasm,3,2,7.771561172376096e-16,0,0
circuit393.qasm,1,1,7.771561172376096e-16,0,0
circuit585.qasm,88,9,0.8535533905932732,1,1
circuit856.qasm,81,4,0.8535533905932732,1,1
circuit151.qasm,70,7,0.7499999999999996,1,1
circuit458.qasm,98,6,0.9999999999999996,1,1
circuit083.qasm,80,1,0.8535533905932733,1,1
circuit336.qasm,80,6,0.8017766952966364,1,1
circuit465.qasm,80,1,0.8535533905932733,1,1
circuit347.qasm,68,5,0.6767766952966365,1,1
circuit258.qasm,88,9,0.8901650429449548,1,1
circuit379.qasm,0,0,6.661338147750939e-16,0,0
circuit339.qasm,82,2,0.8535533905932733,1,1
circuit150.qasm,1,5,7.216449660063518e-16,0,0
circuit972.qasm,1,5,7.216449660063518e-16,0,0
circuit677.qasm,24,4,0.25000000000000056,0,0
circuit340.qasm,1,9,4.440892098500626e-16,0,0
circuit781.qasm,30,4,0.21338834764831882,0,0
circuit372.qasm,28,4,0.25000000000000033,0,0
circuit269.qasm,0,2,6.661338147750939e-16,0,0
circuit018.qasm,63,4,0.6767766952966368,1,1
circuit136.qasm,95,4,0.9267766952966363,1,1
circuit695.qasm,11,4,0.07322330470336352,0,0
circuit116.qasm,18,6,0.14644660940672666,0,0
circuit287.qasm,83,5,0.8535533905932732,1,1
circuit110.qasm,79,3,0.7499999999999996,1,1
circuit912.qasm,0,2,8.326672684688674e-16,0,0
circuit109.qasm,88,4,0.8535533905932733,1,1
circuit494.qasm,88,5,0.8535533905932733,1,1
circuit325.qasm,0,6,5.551115123125783e-16,0,0
circuit111.qasm,30,6,0.32322330470336336,0,0
circuit382.qasm,99,3,0.9999999999999993,1,1
circuit402.qasm,74,1,0.7499999999999996,1,1
circuit933.qasm,27,4,0.25000000000000067,0,0
circuit672.qasm,18,6,0.14644660940672688,0,0
circuit386.qasm,68,6,0.6767766952966368,1,1
circuit903.qasm,0,3,2.220446049250313e-16,0,0
circuit759.qasm,16,1,0.14644660940672682,0,0
circuit081.qasm,88,4,0.8535533905932733,1,1
circuit939.qasm,14,5,0.1464466094067267,0,0
